종목코드,종목명,언론사URL,작성일자,제목,기사부분,네이버링크,카테고리
005930,삼성전자,www.newsis.com,2024-03-18 11:45:00,"삼성전자, 30만원대 보급형 스마트폰 '갤럭시 A15 LTE' 출시",18일 서울 마포구 삼성스토어 홍대에 삼성전자의 스마트폰 '갤럭시 A15 LTE'가 전시되어 있다. 삼성전자는 슈퍼 아몰레드 디스플레이와 5000만 화소 후면 카메라를 탑재한 30만원대 보급형 스마트폰 '갤럭시 A15... ,https://n.news.naver.com/mnews/article/003/0012433044?sid=101,신제품출시
373220,LG에너지솔루션,www.bloter.net,2024-03-18 09:31:00,'LG엔솔 배터리' 캐딜락 리릭 전기차 포착...상반기 국내 출시,"2023년 12월 기준 환경부 자동차 배출가스 및 소음인증시스템에 따르면 101kWh LG에너지솔루션 배터리가 장착된 리릭의 국내 공인 주행거리는 상온 468km(시내 494km, 고속도로 436km), 저온 283km(시내 247km, 고속도로... ",https://n.news.naver.com/mnews/article/293/0000052634?sid=101,신제품출시
068270,셀트리온,www.moneys.co.kr,2024-03-18 10:57:00,"""내년 1조 매출"" 셀트리온 자가면역 신약, 최대 시장 출시",셀트리온이 인플릭시맙 피하주사(SC) 제형인 자가면역 치료제 짐펜트라(램시마SC 미국 제품명)를 미국 시장에 출시했다. 셀트리온은 짐펜트라를 미국 전역에 성공적으로 출시하며 본격적인 시장 공략에 나섰다고 18일... ,https://n.news.naver.com/mnews/article/417/0000989498?sid=101,신약개발
068270,셀트리온,zdnet.co.kr,2024-03-18 10:31:00,"셀트리온, 美서 ‘짐펜트라’ 출시…염증성 장질환 현지 매출 상승 기대",셀트리온이 15일(현지시간) 인플릭시맙 피하주사(SC) 제형 ‘짐펜트라’(램시마SC 미국 제품명)를 미국에 출시했다. ‘짐펜트라’는 셀트리온이 지난해 10월 미국 식품의약국(FDA)으로부터 신약 허가를 획득한 첫... ,https://n.news.naver.com/mnews/article/092/0002324802?sid=105,신제품출시
051910,LG화학,www.yna.co.kr,2024-03-18 09:40:00,"LG화학, 턱밑 지방 개선 주사제 '벨라콜린' 출시",LG화학이 턱밑 지방 개선 주사제 '벨라콜린'(성분명 데옥시콜산)을 출시했다고 18일 밝혔다. 벨라콜린은 턱밑 지방이 과도하거나 돌출된 중등증~중증 성인에게 사용할 수 있다. 중등증은 턱 밑 지방이 뚜렷하게 있는 상태를... ,https://n.news.naver.com/mnews/article/001/0014569589?sid=101,신약개발
051910,LG화학,www.newsis.com,2024-03-18 08:43:00,"LG화학, 턱 지방개선 시장진출…주사제 '벨라콜린' 출시",국내 화학·제약바이오 기업 LG화학이 국내 에스테틱 고객 대상 턱밑 지방 개선 솔루션에 나선다. LG화학은 턱밑 지방 개선 의약품 시장에 진출하며 자체 생산 제품 ‘벨라콜린’(성분명 데옥시콜산)을 본격 출시한다고... ,https://n.news.naver.com/mnews/article/003/0012432287?sid=102,신제품출시
035420,NAVER,kpenews.com,2024-03-18 10:10:00,"KB라이프, ‘KB내맘대로 Pick! e-건강보험 무배당’ 출시..3가지 플랜 간편 가...",한국정경신문 우용하 기­자 wooyh1053@naver.com [한국정경신문=우용하 기자] KB라이프생명(사장 이환주)이 온라인 보험 상품 ‘KB내맘대로 Pick! e-건강보험 무배당(갱신형)’ 출시를 기념해 이달 31일까지 신상품 가입... ,http://kpenews.com/View.aspx?No=3163565,신제품출시
028260,삼성물산,www.news1.kr,2024-03-18 08:34:00,"""청량한 봄 스타일링"" 삼성물산, 구호 '브리즈 트위드 재킷' 출시",삼성물산 패션부문이 운영하는 컨템포러리 브랜드 구호(KHUO)는 올해 봄여름 시즌 대표 상품으로 청량한 봄의 기운을 담은 ‘브리즈 트위드 재킷(Breeze Tweed Jacket)’을 출시했다고 18일 밝혔다. 구호의 브리즈 트위드 재킷은... ,https://n.news.naver.com/mnews/article/421/0007417214?sid=101,신제품출시
138040,메리츠금융지주,www.ngetnews.com,2024-03-18 10:02:00,"SK증권 ""메리츠금융, 밸류업 지수 출시 때 편입 가능성 가장 높아""","뉴스저널리즘 서한나 기자 = SK증권은 메리츠금융지주에 대해 자본을 가장 효율적으로 활용하는 금융사라고 평가했다. 18일 설용진 SK증권 연구원은 보고서를 통해 ""메리츠금융지주의 가장 큰 강점으로 보험·증권... ",https://www.ngetnews.com/news/articleView.html?idxno=503372,신제품출시
066570,LG전자,www.segye.com,2024-03-18 19:58:00,"LG전자, 한 손에 잡히는 고화질 프로젝터 출시","무게 1.49kg 불과 ‘시네빔 큐브’ LG전자가 나만의 공간에서 즐기는 프리미엄 4K 프로젝터 LG 시네빔 큐브(사진)를 출시한다고 18일 밝혔다. LG 시네빔 큐브는 가로 8㎝, 세로 13.5㎝, 높이 13.5㎝의 한 손에 잡히는 초소형... ",https://n.news.naver.com/mnews/article/022/0003915330?sid=101,신제품출시
