종목코드,종목명,언론사URL,작성일자,제목,기사부분,네이버링크,카테고리
005930,삼성전자,www.etnews.com,2024-03-14 11:02:00,삼성전자 '2024년형 비스포크 냉장고' 출시,"삼성전자가 인공지능(AI) 기술로 에너지 절감을 강화한 ' 2024년형 비스포크 냉장고' 를 출시했다. 삼성전자는 2024년형 비스포크 냉장고 전 모델에 '차세대 디지털 컴프레서'와 'AI 절약 모드'를 적용, 소비전력을... ",https://n.news.naver.com/mnews/article/030/0003189064?sid=105,신제품출시
000270,기아,view.asiae.co.kr,2024-03-14 16:50:00,"현대캐피탈, 기아 전기차 특화 ‘E-라이프 솔루션’ 출시",현대캐피탈이 현대자동차에 이어 기아 전기차 구매자를 위한 36개월 리스(임대) 상품 ‘E-라이프 솔루션’을 선보인다고 14일 밝혔다. E-라이프 솔루션은 레이EV·니로EV·EV6·EV9 등 기아의 주요 전기차 차종을 임대로... ,https://n.news.naver.com/mnews/article/277/0005392293?sid=101,신제품출시
035420,NAVER,kpenews.com,2024-03-14 14:40:00,"삼성전자, 비스포크 냉장고 신제품 내놔.. AI로 에너지 절감 강화",한국정경신문 이정화 기­자 joyfully3355@naver.com [한국정경신문=이정화 기자] 삼성전자가 인공지능(AI) 기술로 에너지 절감을 강화한 비스포크 냉장고 신제품을 선보인다.삼성전자는 2024년형 비스포크 냉장고가 전 모델에... ,http://kpenews.com/View.aspx?No=3160678,신제품출시
086790,하나금융지주,view.asiae.co.kr,2024-03-14 09:23:00,인터넷은행 ‘혁신’에 유사상품 출시하는 시중銀[1mm금융톡],"하나금융지주가 트래블로그 카드를 2022년 처음 출시해 인기를 끌자 토스뱅크는 올해 외화통장 서비스를 출시했다. 환전 수수료 평생 무료로, 국내 금융사 최초로 17개국 통화를 24시간 내내 환전할 수 있다는 점을... ",https://n.news.naver.com/mnews/article/277/0005391965?sid=101,신제품출시
086790,하나금융지주,news.einfomax.co.kr,2024-03-14 08:38:00,"블랙록 만난 하나금융…""M&A 보단 주주가치 제고에 방점""","하나금융지주가 글로벌 투자자들을 만나 주주가치 제고에 더욱 박차를 가하겠다는 입장을 표명한 것으로 알려졌다. 보험사 등 비은행 부문의 포트폴리오를 확충할 니즈가 있지만, 상당한 자금이 투입돼야 하는 인수... ",https://news.einfomax.co.kr/news/articleView.html?idxno=4301852,파트너쉽
028300,HLB,www.smedaily.co.kr,2024-03-14 11:36:00,신약허가 될까…요동치는 HLB 주가,HLB R&D 파이프라인. 사진/HLB 국산 항암제 중 최초로 FDA 신약 허가를 목표로 하는 '리보세라닙'이 승인 기한까지 약 두 달을 남겨두고 있다. 올해에만 관련된 루머가 두 번이나 돌며 HLB 주가가 요동친 가운데 HLB 측은... ,http://www.smedaily.co.kr/news/articleView.html?idxno=284340,신약개발
096770,SK이노베이션,biz.chosun.com,2024-03-14 17:30:00,"IMM크레딧, SK엔무브 인수금융 5000억 리파이낸싱 마무리 임박","SK엔무브는 SK이노베이션이 지분 60%를 보유한 자회사로, 윤활유 사업을 총괄하고 있다. ICS는 2021년 4월 특수목적회사(SPC) 에코솔루션홀딩스를 세워 SK엔무브 잔여 지분 40%를 1조1195억원에 사들였다. 당시... ",https://n.news.naver.com/mnews/article/366/0000977949?sid=101,인수합병
259960,크래프톤,zdnet.co.kr,2024-03-14 11:24:00,"크래프톤, 배틀그라운드 출시 7주년 기념 업데이트 진행","크래프톤(대표 김창한)은 14일 PUBG: 배틀그라운드(PUBG: BATTLEGROUNDS, 이하 배틀그라운드)의 출시 7주년을 기념하는 업데이트를 진행했다고 밝혔다. 배틀그라운드는 2017년 스팀 얼리 액세스로 출시되어 스팀 역대 최대 동시... ",https://n.news.naver.com/mnews/article/092/0002324491?sid=105,신제품출시
259960,크래프톤,economist.co.kr,2024-03-14 15:12:00,"크래프톤, 인도 구자라트 주 정부와 전략적 파트너십 체결",크래프톤은 인도 구자라트 주 정부와 e스포츠 및 게임 생태계 강화를 위한 양해각서(MOU)를 체결했다고... 가속화하려는 크래프톤의 목표와 부합한다. 크래프톤 손현일 인도 법인 대표는 “구자라트 주는 작년 12월... ,https://n.news.naver.com/mnews/article/243/0000057331?sid=105,파트너쉽
010130,고려아연,www.womaneconomy.co.kr,2024-03-14 18:06:00,[주총대전] 카카오의 SM 인수 실탄 댄 사모펀드 뒤 최윤범 고려아연 회장의 그...,또 자기주식 매각으로 우호 지분을 늘릴 수도 있는데 그런 방식으로 1%대 주주가 이사회를 장악한 대표적인 기업이 영풍그룹의 계열사 고려아연이다. 재계를 뒤흔든 카카오의 SM엔터테인먼트 주가 조작 사건도 별개... ,https://www.womaneconomy.co.kr/news/articleView.html?idxno=221872,인수합병
